team,rating,matches,last_match_date
Argentina,2000.2324660331553,1098,2025-06-10
Spain,1986.9881593775717,772,2025-06-08
Brazil,1938.5798928256568,1058,2025-06-10
France,1933.7695793691255,927,2025-06-08
Portugal,1901.151087203235,686,2025-06-08
England,1888.9221589889723,1145,2025-06-10
Colombia,1886.1661234498008,643,2025-06-10
Netherlands,1881.1398979172573,889,2025-06-10
Germany,1872.7931452318944,659,2025-06-08
Japan,1858.5447789350108,821,2025-07-15
Italy,1853.0421551151887,894,2025-06-09
Croatia,1836.6977087456141,390,2025-06-09
Belgium,1834.9805034816607,868,2025-06-09
Iran,1831.173538761183,667,2025-06-10
Uruguay,1829.2531365375842,1004,2025-06-10
West Germany,1829.215883339462,377,1990-10-31
Ecuador,1811.586644912265,590,2025-06-10
Denmark,1810.2758824973996,895,2025-06-10
Mexico,1810.248029590014,1013,2025-07-06
Morocco,1807.487536830609,704,2025-06-09
South Korea,1795.4398725044807,1041,2025-07-15
Switzerland,1781.7085296911237,886,2025-06-10
Australia,1778.156570438224,621,2025-06-10
Senegal,1776.2468520040902,672,2025-06-10
Austria,1765.3919324702467,855,2025-06-10
Russia,1762.5836968237652,347,2025-06-10
United States,1759.883276482916,813,2025-07-06
Canada,1750.7349951035137,473,2025-06-29
Ukraine,1749.5484271720613,325,2025-06-10
Turkey,1748.0589153450765,656,2025-06-10
Serbia,1747.8711959719603,207,2025-06-10
Algeria,1747.3266457865489,662,2025-06-10
Soviet Union,1746.9632712744046,409,1991-11-13
Sweden,1745.5816999733831,1112,2025-06-10
Norway,1737.6869285953458,876,2025-06-09
Uzbekistan,1731.268960067273,352,2025-06-10
Egypt,1726.6982229353287,816,2025-03-25
Peru,1725.1152101748735,703,2025-06-10
Greece,1723.433371534475,647,2025-06-10
Paraguay,1723.2926959553308,781,2025-06-10
Czechia,1717.0476824349917,350,2025-06-09
Poland,1712.0392837959562,909,2025-06-10
Panama,1704.2403057391202,586,2025-06-28
Venezuela,1703.7648191301969,471,2025-06-10
Wales,1702.071546566441,725,2025-06-09
Slovenia,1700.4855924482106,308,2025-06-10
Hungary,1699.2869837297685,1028,2025-06-10
Costa Rica,1697.1643113075586,777,2025-06-29
Yugoslavia,1694.479967150067,611,2002-11-20
Ivory Coast,1687.4138699596533,659,2025-06-10
Czechoslovakia,1682.259075994215,509,1993-11-17
Chile,1680.7472939184333,846,2025-06-10
Tunisia,1679.8985818309595,741,2025-06-06
Scotland,1678.6261217060783,857,2025-06-09
East Germany,1668.4027715941413,320,1990-09-12
Iraq,1666.0479328173121,742,2025-06-10
New Zealand,1660.6023948234783,431,2025-06-10
Cameroon,1656.188120600371,644,2025-06-09
Qatar,1649.5886171911618,674,2025-06-10
Mali,1645.2362219455313,591,2025-06-05
Romania,1644.0449775295306,785,2025-06-10
Jordan,1641.9553140682788,545,2025-06-10
Saudi Arabia,1640.5451018966135,799,2025-06-28
Ireland,1639.2795649305012,729,2025-06-10
Nigeria,1636.4187325027178,693,2025-06-06
Slovakia,1635.2376250665388,363,2025-06-10
Georgia,1634.3756698669488,307,2025-06-08
South Africa,1629.0513820870801,507,2025-06-15
Jamaica,1627.105098894672,706,2025-06-24
United Arab Emirates,1623.9608716192363,645,2025-06-10
Oman,1618.70587396669,577,2025-06-10
Angola,1598.4589847579412,447,2025-06-15
Honduras,1598.3420624370312,660,2025-07-02
DR Congo,1596.174950318454,337,2025-06-08
Israel,1595.176302433685,515,2025-06-10
North Macedonia,1585.7162667133032,68,2025-06-09
Burkina Faso,1585.2564345127678,393,2025-06-06
Albania,1584.6815548489346,398,2025-06-10
Guatemala,1584.3102478485202,616,2025-07-02
Bolivia,1583.4383676725577,524,2025-06-10
Haiti,1582.7301849834357,551,2025-06-22
Cape Verde,1579.0653674702028,236,2025-06-08
Bahrain,1578.7086010718024,618,2025-06-10
Kosovo,1578.564256390045,99,2025-06-09
Bosnia and Herzegovina,1576.3655483968048,270,2025-06-10
Finland,1574.2940110674008,815,2025-06-10
Ghana,1572.6371884406717,738,2025-05-31
Serbia and Montenegro,1570.6280357802025,36,2006-06-21
Iceland,1561.197714580937,516,2025-06-10
Northern Ireland,1558.8828213706552,603,2025-06-10
Reunion,1553.5085744186017,136,2023-09-02
United Arab Republic,1551.9743861672696,27,1961-09-10
New Caledonia,1547.5185469367132,279,2025-03-24
Zaire,1545.6304230347512,175,1997-04-27
Gabon,1544.4493944724359,442,2025-06-09
Fiji,1544.3262082221665,279,2025-03-21
Saint Kitts,1543.6139671697426,11,2002-01-26
Comm of Indep States,1542.5132764546001,10,1992-06-18
China,1539.6286181666665,741,2025-07-15
Montenegro,1539.0869004668227,158,2025-06-09
Thailand,1537.6523482031669,924,2025-06-10
Macedonia,1536.1050600672536,227,2018-11-19
Tahiti,1535.7749672324253,252,2025-03-21
Gold Coast,1531.7587409150988,12,1957-12-31
Equatorial Guinea,1530.613290411226,183,2025-06-09
Trinidad and Tobago,1528.3178924523584,858,2025-06-22
French Togoland,1527.5303453276395,5,1956-10-20
Martinique,1527.5164524030408,359,2025-03-25
Vietnam,1523.113649827991,297,2025-06-10
Guinea,1522.7522304948404,590,2025-03-25
Northern Rhodesia,1521.6560664657677,24,1964-10-23
Palestine,1520.9334038031918,278,2025-06-10
Bohemia and Moravia,1519.0594292017515,7,1939-11-12
Mali Federation,1517.7451490217538,4,1960-07-10
Suriname,1516.861528497305,523,2025-06-22
Syria,1516.2914499471433,568,2025-06-10
North Korea,1513.7940738967313,421,2025-06-10
French Congo,1509.7048134934764,1,1954-12-31
Ubangi-Shari,1509.4757367499792,1,1956-12-31
Libya,1509.3919855542506,438,2025-03-25
Kenya,1509.2435535053849,722,2025-06-10
Korea,1508.8105383952504,1,1942-08-16
British Honduras,1507.8146276007803,2,1963-04-01
Bulgaria,1507.601440176827,762,2025-06-10
Zambia,1507.3945695886034,815,2025-06-11
Malaya,1507.3373266322487,76,1963-08-16
Portuguese Guinea,1506.3288584158352,5,1960-10-02
Rhodesia,1505.589715481742,14,1979-05-19
El Salvador,1505.3278598478955,672,2025-06-24
Curaçao,1505.0428811142351,260,2025-06-24
Kurdistan,1503.9782396544472,2,2012-05-19
Belarus,1502.8784324865155,293,2025-06-10
